week;weekday;Holidays;Name
51;4;1;Chritmas
51;5;1;Chritmas
51;6;1;Chritmas
52;0;1;Chritmas
52;1;1;Chritmas
52;2;1;Chritmas
52;3;1;Chritmas
52;4;1;Chritmas
52;5;1;Chritmas
52;6;1;Chritmas
1;0;1;Chritmas
1;1;1;Chritmas
1;2;1;Chritmas
1;3;1;Chritmas
1;4;1;Chritmas
1;5;1;Chritmas
1;6;1;Chritmas
35;4;1;LB_Day
35;5;1;LB_Day
35;6;1;LB_Day
36;0;1;LB_Day
21;4;1;MM_Day
21;5;1;MM_Day
21;6;1;MM_Day
22;0;1;MM_Day
26;4;1;4July
26;5;1;4July
26;6;1;4July
27;0;1;4July
27;1;1;4July
27;2;1;4July
27;3;1;4July
27;4;1;4July
27;5;1;4July
27;6;1;4July
46;4;1;Thanksgiving
46;5;1;Thanksgiving
46;6;1;Thanksgiving
47;0;1;Thanksgiving
47;1;1;Thanksgiving
47;2;1;Thanksgiving
47;3;1;Thanksgiving
47;4;1;Thanksgiving
47;5;1;Thanksgiving
47;6;1;Thanksgiving
22;5;1;Summer
23;5;1;Summer
24;5;1;Summer
25;5;1;Summer
26;5;1;Summer
27;5;1;Summer
28;5;1;Summer
29;5;1;Summer
30;5;1;Summer
31;5;1;Summer
32;5;1;Summer
33;5;1;Summer
34;5;1;Summer
35;5;1;Summer
